Testing W = 0.1
Models: BAC, DCS, DS(theta), QBCR, QBPL
30.5: 0.389713, 0.389894, 1.56588e-104, 1.42536e-79, 0.480845
30: 0.336888, 0.337032, 1.26071e-106, 1.03856e-85, 0.447008
29.5: 0.278878, 0.278979, 1.22106e-108, 7.45614e-92, 0.410547
29: 0.219443, 0.219501, 1.96865e-114, 2.87136e-94, 0.371887
28.5: 0.165815, 0.165842, 1.31559e-120, 2.39621e-96, 0.33185
28: 0.123955, 0.123966, 5.08478e-123, 2.00781e-98, 0.291713
27.5: 0.0939632, 0.0939675, 6.23764e-125, 2.36619e-104, 0.25308
27: 0.0728129, 0.0728146, 8.26399e-131, 8.66363e-107, 0.217521
26.5: 0.0576662, 0.057667, 4.93866e-137, 1.07625e-108, 0.186141
26: 0.0465787, 0.046579, 1.757e-139, 7.65729e-111, 0.159335
25.5: 0.0382934, 0.0382936, 2.17034e-141, 7.08105e-113, 0.136895
25: 0.0319824, 0.0319825, 1.50553e-143, 5.65739e-115, 0.118244
24.5: 0.0270747, 0.0270747, 2.52615e-149, 4.65086e-117, 0.102758
24: 0.0231626, 0.0231627, 1.28846e-155, 3.28279e-119, 0.0897919
23.5: 0.0199537, 0.0199537, 4.12659e-158, 2.57811e-121, 0.0788882
23: 0.017238, 0.017238, 5.21561e-160, 2.57335e-127, 0.069667
22.5: 0.0148635, 0.0148636, 3.31504e-162, 7.54006e-130, 0.0618179
22: 0.0127155, 0.0127155, 5.45445e-168, 1.24833e-135, 0.0551254
21.5: 0.0106984, 0.0106984, 2.36835e-174, 3.48622e-138, 0.0494045
21: 0.00871642, 0.00871642, 6.80896e-177, 3.65165e-140, 0.0445158
20.5: 0.00663627, 0.00663627, 8.85802e-179, 3.54158e-146, 0.040328
20: 0.00413704, 0.00413704, 8.56637e-185, 9.42957e-149, 0.0367472
19.5: 1.28587e-08, 1.28586e-08, 3.31527e-191, 1.27552e-150, 0.0336792
19: 3.1195e-10, 3.1195e-10, 8.71014e-194, 1.156e-156, 0.0310424
18.5: 2.29984e-10, 2.29984e-10, 1.17324e-195, 2.67729e-159, 0.0287645
18: 9.86905e-11, 9.86905e-11, 6.25719e-198, 3.96864e-165, 0.026783
17.5: 2.9445e-11, 2.9445e-11, 5.60944e-200, 9.08049e-168, 0.0250454
17: 1.28548e-14, 1.28548e-14, 6.07996e-206, 2.33375e-173, 0.023508
16.5: 2.08417e-15, 2.08417e-15, 1.33524e-208, 6.88724e-180, 0.0221356
16: 3.26391e-16, 3.26391e-16, 1.92001e-210, 1.58766e-182, 0.020902
15.5: 5.71333e-20, 5.71334e-20, 1.4295e-216, 4.0757e-188, 0.0197765
15: 6.47724e-24, 6.47726e-24, 3.97933e-223, 1.05367e-194, 0.0187478
14.5: 5.88616e-28, 5.88616e-28, 1.16227e-229, 3.11919e-201, 0.0177989
14: 4.31516e-29, 4.31516e-29, 2.39723e-232, 6.42209e-204, 0.0169177
13.5: 3.65715e-33, 3.65715e-33, 6.6036e-238, 1.77194e-209, 0.016093
13: 2.1277e-34, 2.1277e-34, 1.12718e-240, 3.74192e-216, 0.0153178
12.5: 1.39016e-38, 1.39016e-38, 3.64033e-246, 7.18144e-219, 0.0145867
12: 5.32004e-43, 5.32006e-43, 6.82334e-253, 7.45406e-221, 0.0138879
11.5: 2.29279e-44, 2.2928e-44, 1.30544e-255, 3.372e-223, 0.0132261
11: 1.10294e-48, 1.10295e-48, 3.6946e-261, 4.64735e-229, 0.0125838
10.5: 3.95324e-50, 3.95327e-50, 5.2311e-264, 6.76506e-232, 0.0119694
10: 1.59982e-54, 1.59984e-54, 1.694e-269, 2.13577e-237, 0.0113739

Testing W = 0.5
Models: BAC, DCS, DS(theta), QBCR, QBPL
40: 0.736578, 0.736842, 6.9782e-09, 7.04349e-09, 0.741774
39.5: 0.726997, 0.727269, 9.78414e-15, 9.65766e-15, 0.733467
39: 0.716267, 0.716547, 5.34257e-17, 5.26907e-17, 0.724193
38.5: 0.704263, 0.704549, 1.27324e-22, 1.15035e-22, 0.713864
38: 0.690841, 0.691132, 6.63155e-25, 1.11507e-28, 0.702376
37.5: 0.675834, 0.67613, 1.55797e-30, 5.77586e-31, 0.689617
37: 0.659051, 0.659349, 1.42912e-36, 1.32255e-36, 0.675462
36.5: 0.640264, 0.640563, 7.13388e-39, 1.18176e-42, 0.659771
